instance,cutoff,tabu,seed,baseline_feasible,block_feasible,baseline_obj,block_obj,outcome,relative_gap
ball_mk3_10.lp,10,0,11,0,1,,-8.0,win,0
chimera_mgw-c8-439-onc8-002.lp,10,1,12,1,1,392.0,392.0,tie,0.0
chimera_lga-01.lp,10,0,11,1,1,120.1,120.1,tie,0.0
chimera_selby-c16-02.lp,10,1,10,1,1,708.4,708.6,win,0.00028232636928295524
chimera_mgw-c16-2031-01.lp,10,1,9,1,1,1945.0,1941.0,loss,-0.002056555269922879
graphpart_2g-0055-0062.lp,10,0,8,1,1,-1389952.0,-1389952.0,tie,0.0
ball_mk2_10.lp,10,0,9,1,1,0.0,0.0,tie,0
chimera_selby-c8-onc8-02.lp,10,1,8,1,1,166.9,166.9,tie,0.0
ball_mk3_20.lp,10,0,11,0,1,,-5.0,win,0
chimera_k64ising-01.lp,10,0,12,1,1,12.8,12.8,tie,0.0
chimera_k64maxcut-02.lp,10,0,11,1,1,16.7,16.7,tie,0.0
ball_mk2_30.lp,10,1,8,1,1,0.0,0.0,tie,0
chimera_k64maxcut-01.lp,10,0,12,1,1,11.7,13.6,win,0.16239316239316243
chimera_k64maxcut-02.lp,10,1,10,1,1,14.2,14.2,tie,0.0
chimera_mgw-c8-439-onc8-001.lp,10,0,8,1,1,405.0,405.0,tie,0.0
chimera_selby-c16-01.lp,10,0,9,1,1,707.3,707.3,tie,0.0
chimera_k64ising-01.lp,10,1,10,1,1,11.5,11.5,tie,0.0
ball_mk2_10.lp,10,1,12,1,1,0.0,0.0,tie,0
ball_mk4_15.lp,10,1,10,0,1,,-727.0,win,0
chimera_lga-01.lp,10,0,12,1,1,128.2,128.2,tie,0.0
ball_mk3_20.lp,10,1,12,0,1,,-7.0,win,0
graphpart_2g-0055-0062.lp,10,1,12,1,1,-1218526.0,-1218526.0,tie,0.0
chimera_rfr-01.lp,10,0,11,1,1,1164.7,1162.8,loss,-0.001631321370310029
chimera_mgw-c8-507-onc8-01.lp,10,1,12,1,1,492.0,492.0,tie,0.0
chimera_k64maxcut-01.lp,10,1,12,1,1,11.8,11.7,loss,-0.00847457627118656
ball_mk3_20.lp,10,0,9,0,1,,-7.0,win,0
chimera_rfr-02.lp,10,0,8,1,1,1124.1,1124.1,tie,0.0
ball_mk2_10.lp,10,0,12,1,1,0.0,0.0,tie,0
chimera_mgw-c8-439-onc8-001.lp,10,1,11,1,1,405.0,405.0,tie,0.0
crossdock_15x8.lp,10,1,8,1,1,16351.0,16351.0,tie,0.0
chimera_mis-02.lp,10,1,10,1,1,391.6,391.6,tie,0.0
chimera_mgw-c8-507-onc8-01.lp,10,0,12,1,1,492.0,492.0,tie,0.0
chimera_k64maxcut-01.lp,10,1,9,1,1,11.3,11.3,tie,0.0
chimera_k64maxcut-02.lp,10,0,10,1,1,14.2,14.2,tie,0.0
chimera_mgw-c16-2031-01.lp,10,0,10,1,1,1952.0,1952.0,tie,0.0
ball_mk2_10.lp,10,0,11,1,1,0.0,0.0,tie,0
ball_mk2_10.lp,10,1,9,1,1,0.0,0.0,tie,0
ball_mk4_10.lp,10,0,12,0,1,,-31.0,win,0
chimera_mgw-c8-507-onc8-02.lp,10,0,8,1,1,494.0,494.0,tie,0.0
chimera_selby-c8-onc8-02.lp,10,0,9,1,1,167.7,167.7,tie,0.0
chimera_selby-c8-onc8-02.lp,10,1,9,1,1,167.7,167.7,tie,0.0
chimera_mis-01.lp,10,1,11,1,1,381.2,381.2,tie,0.0
chimera_selby-c16-02.lp,10,0,10,1,1,708.4,708.6,win,0.00028232636928295524
chimera_mis-01.lp,10,1,10,1,1,380.4,380.4,tie,0.0
graphpart_2g-0044-1601.lp,10,0,10,1,1,-919798.0,-919798.0,tie,0.0
chimera_k64ising-01.lp,10,0,10,1,1,11.5,11.5,tie,0.0
chimera_rfr-01.lp,10,0,9,1,1,1148.9,1149.2,win,0.0002611193315344717
graphpart_2g-0044-1601.lp,10,0,8,1,1,-919798.0,-919798.0,tie,0.0
ball_mk3_20.lp,10,0,8,0,1,,-5.0,win,0
chimera_lga-02.lp,10,0,9,1,1,121.5,121.5,tie,0.0
chimera_lga-01.lp,10,1,9,1,1,129.7,129.7,tie,0.0
ball_mk3_30.lp,10,1,10,0,1,,-5.0,win,0
chimera_k64maxcut-01.lp,10,0,9,1,1,11.3,11.3,tie,0.0
ball_mk4_15.lp,10,1,8,0,1,,-2827.0,win,0
chimera_mis-01.lp,10,0,12,1,1,380.2,380.2,tie,0.0
chimera_mgw-c16-2031-01.lp,10,0,11,1,1,1948.0,1948.0,tie,0.0
chimera_selby-c8-onc8-01.lp,10,1,9,1,1,175.6,175.6,tie,0.0
ball_mk3_30.lp,10,0,10,0,1,,-2.0,win,0
ball_mk2_10.lp,10,1,11,1,1,0.0,0.0,tie,0
chimera_k64maxcut-01.lp,10,0,8,1,1,14.1,14.1,tie,0.0
chimera_selby-c16-01.lp,10,1,8,1,1,700.7,700.7,tie,0.0
chimera_mgw-c16-2031-02.lp,10,0,11,1,1,1968.0,1968.0,tie,0.0
