mode,feasible_rate,avg_best_obj,avg_repair_success_total,avg_obj_improve_executed_total,avg_violation_improve_executed_total
smart_only,1.0000,42876477.9787,7073.4333,5111.2333,7073.4333
baseline,0.3750,0.0000,0.0000,0.0000,0.0000
repair_only,1.0000,-68357.8060,11726.7667,4661.9133,11726.7667
baseline,0.8239,54970026.3385,0.0000,0.0000,0.0000
full_block,1.0000,42876477.9133,7180.1000,4926.7000,7180.1000
old_block,1.0000,42876618.1180,11733.4333,6739.5400,11733.4333
old_block,1.0000,-68321.6133,11483.4333,9772.6133,11483.4333
smart_only,1.0000,-68357.7340,6926.7667,4898.8867,6926.7667
full_block,1.0000,-68357.7260,6963.4333,4672.6733,6963.4333
baseline,0.8000,-85399.5833,0.0000,0.0000,0.0000
normalized_only,1.0000,-68321.6100,11673.4333,9457.3800,11673.4333
normalized_only,1.0000,42876618.1233,11653.4333,6461.3933,11653.4333
repair_only,1.0000,42876477.9787,12046.7667,4877.7600,12046.7667
improve_only,0.8000,-85399.5058,0.0000,0.0000,0.0000
improve_only,0.8000,53595775.6775,0.0000,0.0000,0.0000
