instance,cutoff,name,avg_obj,avg_time,avg_block_time,avg_executed,avg_repair_success,feasible_count,unconstrained
QPLIB_3832.lp,10,baseline,,,0.0,0.0,0.0,0,0.0
QPLIB_3832.lp,10,full_block,,,0.0,0.0,0.0,0,0.0
QPLIB_3832.lp,10,mode_6_adaptive_repair,,,0.0,0.0,0.0,0,0.0
QPLIB_3832.lp,10,mode_7_adaptive_both,,,0.0,0.0,0.0,0,0.0
QPLIB_3832.lp,10,mode_8_adaptive_orig_score,,,0.0,0.0,0.0,0,0.0
QPLIB_3832.lp,10,mode_9_legacy_safe,,,0.0,0.0,0.0,0,0.0
QPLIB_3838.lp,10,baseline,,,0.0,0.0,0.0,0,0.0
QPLIB_3838.lp,10,full_block,,,0.0,0.0,0.0,0,0.0
QPLIB_3838.lp,10,mode_6_adaptive_repair,,,0.0,0.0,0.0,0,0.0
QPLIB_3838.lp,10,mode_7_adaptive_both,,,0.0,0.0,0.0,0,0.0
QPLIB_3838.lp,10,mode_8_adaptive_orig_score,,,0.0,0.0,0.0,0,0.0
QPLIB_3838.lp,10,mode_9_legacy_safe,,,0.0,0.0,0.0,0,0.0
chimera_lga-01.lp,10,baseline,,,0.0,0.0,0.0,0,0.0
chimera_lga-01.lp,10,full_block,,,0.0,0.0,0.0,0,0.0
chimera_lga-01.lp,10,mode_6_adaptive_repair,,,0.0,0.0,0.0,0,0.0
chimera_lga-01.lp,10,mode_7_adaptive_both,,,0.0,0.0,0.0,0,0.0
chimera_lga-01.lp,10,mode_8_adaptive_orig_score,,,0.0,0.0,0.0,0,0.0
chimera_lga-01.lp,10,mode_9_legacy_safe,,,0.0,0.0,0.0,0,0.0
prob02.lp,10,baseline,192000.0,10.006338544,0.0,0.0,0.0,1,0.0
prob02.lp,10,full_block,232010.0,10.008213355,6.46293,6639.0,0.0,1,0.0
prob02.lp,10,mode_6_adaptive_repair,,,0.0,0.0,0.0,0,0.0
prob02.lp,10,mode_7_adaptive_both,,,0.0,0.0,0.0,0,0.0
prob02.lp,10,mode_8_adaptive_orig_score,,,0.0,0.0,0.0,0,0.0
prob02.lp,10,mode_9_legacy_safe,,,0.0,0.0,0.0,0,0.0
