instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
ball_mk2_10.lp,min,0.0,0.0,tie,0,0,10.009572,10.00859
ball_mk2_30.lp,min,0.0,0.0,tie,0,0,10.015197,10.018987
ball_mk3_10.lp,,,,neither feasible,0,0,10.012696,10.008403
ball_mk3_20.lp,,,,neither feasible,0,0,10.010903,10.014157
ball_mk3_30.lp,,,,neither feasible,0,0,10.017825,10.012584
ball_mk4_05.lp,,,,neither feasible,0,0,10.012168,10.015168
ball_mk4_10.lp,,,,neither feasible,0,0,10.026208,10.024621
ball_mk4_15.lp,,,,neither feasible,0,0,10.065609,10.011605
chimera_k64ising-01.lp,max,17.3,12.0,new win,0,0,10.107326,10.140165
chimera_k64maxcut-01.lp,max,14.1,13.8,new win,0,0,10.137436,10.100941
chimera_k64maxcut-02.lp,max,10.1,12.1,new loss,0,0,10.180321,10.157329
chimera_lga-01.lp,max,129.9,122.3,new win,0,0,10.172273,10.05646
chimera_lga-02.lp,max,125.2,122.0,new win,0,0,10.17556,10.448272
chimera_mgw-c16-2031-01.lp,max,1969.0,1958.0,new win,0,0,10.787171,11.445897
chimera_mgw-c16-2031-02.lp,max,1977.0,1964.0,new win,0,0,10.749981,10.911238
chimera_mgw-c8-439-onc8-001.lp,max,405.0,403.0,new win,0,0,10.118759,10.253886
chimera_mgw-c8-439-onc8-002.lp,max,395.0,392.0,new win,0,0,10.120357,10.355073
chimera_mgw-c8-507-onc8-01.lp,max,493.0,493.0,tie,0,0,10.077337,10.066761
chimera_mgw-c8-507-onc8-02.lp,max,494.0,494.0,tie,0,0,10.050093,10.081468
chimera_mis-01.lp,max,383.2,381.8,new win,0,0,10.214668,11.294235
chimera_mis-02.lp,max,392.8,392.6,new win,0,0,10.238692,10.144856
chimera_rfr-01.lp,max,1169.5,1158.8,new win,0,0,10.069319,10.146288
chimera_rfr-02.lp,max,1131.3,1118.3,new win,0,0,10.199396,10.629469
chimera_selby-c16-01.lp,max,698.0,705.8,new loss,0,0,10.497723,10.351638
chimera_selby-c16-02.lp,max,697.3,692.4,new win,0,0,10.293901,10.320624
chimera_selby-c8-onc8-01.lp,max,174.4,174.2,new win,0,0,10.064291,10.055688
chimera_selby-c8-onc8-02.lp,max,166.1,166.0,new win,0,0,10.138822,10.106618
crossdock_15x8.lp,min,16525.0,16525.0,tie,0,0,10.24632,10.254428
graphpart_2g-0044-1601.lp,min,-919798.0,-919798.0,tie,0,0,10.013227,10.012573
graphpart_2g-0055-0062.lp,min,-1054460.0,-1054460.0,tie,0,0,10.008499,10.010068
graphpart_2g-0066-0066.lp,min,-2560722.0,-2560722.0,tie,0,0,10.008351,10.016502
graphpart_2g-0077-0077.lp,min,-2831099.0,-2831099.0,tie,0,0,10.015115,10.019671
graphpart_2g-0088-0088.lp,min,-5908169.0,-5908169.0,tie,0,0,10.012583,10.038909
graphpart_2g-0099-9211.lp,min,-5018798.0,-5018798.0,tie,0,0,10.039704,10.016382
graphpart_2g-1010-0824.lp,min,-6960353.0,-6960353.0,tie,0,0,10.021454,10.038291
graphpart_2pm-0044-0044.lp,min,-10.0,-10.0,tie,0,0,10.010743,10.014861
graphpart_2pm-0055-0055.lp,min,-20.0,-20.0,tie,0,0,10.021892,10.017795
graphpart_2pm-0066-0066.lp,min,-29.0,-29.0,tie,0,0,10.007761,10.014825
graphpart_2pm-0077-0777.lp,min,-38.0,-38.0,tie,0,0,10.008238,10.018797
graphpart_2pm-0088-0888.lp,min,-54.0,-54.0,tie,0,0,10.018301,10.030209
graphpart_2pm-0099-0999.lp,min,-62.0,-62.0,tie,0,0,10.035444,10.044609
graphpart_3g-0234-0234.lp,min,-1804334.0,-1804334.0,tie,0,0,10.00867,10.01625
graphpart_3g-0244-0244.lp,min,-2540313.0,-2540313.0,tie,0,0,10.01744,10.020953
graphpart_3g-0333-0333.lp,min,-1754342.0,-1754342.0,tie,0,0,10.014704,10.016158
graphpart_3g-0334-0334.lp,min,-2768659.0,-2768659.0,tie,0,0,10.025253,10.021348
graphpart_3g-0344-0344.lp,min,-4963154.0,-4963154.0,tie,0,0,10.024134,10.011993
graphpart_3g-0444-0444.lp,min,-7603756.0,-7603756.0,tie,0,0,10.058138,10.039625
graphpart_3pm-0234-0234.lp,min,-20.0,-20.0,tie,0,0,10.017971,10.007526
graphpart_3pm-0244-0244.lp,min,-28.0,-28.0,tie,0,0,10.017529,10.015588
graphpart_3pm-0333-0333.lp,min,-26.0,-26.0,tie,0,0,10.015357,10.012712
graphpart_3pm-0334-0334.lp,min,-36.0,-36.0,tie,0,0,10.030972,10.024457
graphpart_3pm-0344-0344.lp,min,-48.0,-48.0,tie,0,0,10.038384,10.022485
nvs03.lp,min,64.0,64.0,tie,0,0,10.008692,10.006551
nvs10.lp,min,-310.8,-310.8,tie,0,0,10.011553,10.007129
nvs11.lp,min,-431.0,-431.0,tie,0,0,10.009653,10.012352
nvs12.lp,min,-481.2,-481.2,tie,0,0,10.015105,10.016595
nvs13.lp,min,-585.2,-585.2,tie,0,0,10.007429,10.010726
nvs15.lp,min,1.0,1.0,tie,0,0,10.009081,10.006298
nvs17.lp,min,-1100.4,-1100.4,tie,0,0,10.014232,10.022367
nvs18.lp,min,-778.4,-778.4,tie,0,0,10.023464,10.017747
nvs19.lp,min,-1098.4,-1098.4,tie,0,0,10.013222,10.008429
nvs23.lp,min,-1125.2,-1125.2,tie,0,0,10.014322,10.00877
nvs24.lp,min,-1033.2,-1033.2,tie,0,0,10.116798,10.127684
pb302035.lp,min,3818368.0,3818368.0,tie,0,0,17.33691,17.854952
pb302055.lp,min,3966094.0,3966094.0,tie,0,0,12.148858,12.733754
pb302075.lp,min,4191764.0,4191764.0,tie,0,0,19.023777,19.343928
pb351535.lp,min,5115148.0,5115148.0,tie,0,0,17.73918,17.212739
pb351555.lp,min,4888133.0,4888133.0,tie,0,0,14.203006,13.539269
pb351575.lp,min,6553485.0,6553485.0,tie,0,0,13.12697,13.252523
prob02.lp,min,144265.0,144265.0,tie,0,0,10.012675,10.017307
prob03.lp,min,10.0,10.0,tie,0,0,10.008474,10.00864
QPLIB_0067.lp,min,-94446.0,-94446.0,tie,0,0,10.213865,10.152031
QPLIB_0633.lp,min,82.048035,82.048035,tie,0,0,10.032187,10.183685
QPLIB_0752.lp,max,24071.0,24071.0,tie,0,0,10.023253,10.10358
QPLIB_10040.lp,min,0.0,0.0,tie,0,0,10.663899,10.134149
QPLIB_10041.lp,min,0.0,0.0,tie,0,0,10.384731,10.143373
QPLIB_10042.lp,min,-20.881926,-20.881926,tie,0,0,10.163063,10.212017
QPLIB_10043.lp,min,0.0,0.0,tie,0,0,10.380248,10.451328
QPLIB_10044.lp,min,-7.868867,-7.868867,tie,0,0,10.371054,10.376862
QPLIB_10045.lp,min,0.0,0.0,tie,0,0,10.592181,10.849155
QPLIB_10046.lp,min,-0.7127,-0.7127,tie,0,0,11.069962,10.057661
QPLIB_10047.lp,min,0.0,0.0,tie,0,0,10.740809,10.932923
QPLIB_10048.lp,min,-13.562674,-13.562674,tie,0,0,10.870198,10.985068
QPLIB_10049.lp,min,0.0,0.0,tie,0,0,10.734867,10.872846
QPLIB_10050.lp,min,-25.697662,-25.697662,tie,0,0,10.857222,10.856921
QPLIB_10051.lp,min,0.0,0.0,tie,0,0,10.451359,10.671734
QPLIB_10052.lp,min,-11.810576,-11.810576,tie,0,0,10.158989,11.262404
QPLIB_10053.lp,min,0.0,0.0,tie,0,0,10.480197,10.462467
QPLIB_10054.lp,min,-10.197064,-10.197064,tie,0,0,10.774617,10.613639
QPLIB_10055.lp,min,-1.258548,-1.258548,tie,0,0,11.338834,11.365846
QPLIB_10056.lp,min,-33.856789,-33.856789,tie,0,0,11.678089,11.759648
QPLIB_10057.lp,min,0.0,0.0,tie,0,0,10.859747,10.792288
QPLIB_10058.lp,min,-3.379774,-3.379774,tie,0,0,10.659935,10.669177
QPLIB_10059.lp,min,0.0,0.0,tie,0,0,10.822233,10.555434
QPLIB_10060.lp,min,0.0,0.0,tie,0,0,10.633931,11.150904
QPLIB_10061.lp,min,-22.99021,-22.99021,tie,0,0,10.757603,10.832754
QPLIB_10062.lp,min,0.0,0.0,tie,0,0,10.679494,10.742376
QPLIB_10063.lp,min,-42.515972,-42.515972,tie,0,0,12.296966,12.116984
QPLIB_10064.lp,min,0.0,0.0,tie,0,0,10.266603,10.229856
QPLIB_10065.lp,min,-29.822421,-29.822421,tie,0,0,11.245699,11.488969
QPLIB_10066.lp,min,-32.979886,-32.979886,tie,0,0,11.497305,11.684058
QPLIB_10067.lp,min,-31.568701,-31.568701,tie,0,0,11.752789,11.6736
QPLIB_10068.lp,min,-31.624223,-31.624223,tie,0,0,11.802636,11.730474
QPLIB_10069.lp,min,0.0,0.0,tie,0,0,11.463422,11.735747
QPLIB_10070.lp,min,-25.258817,-25.258817,tie,0,0,11.093785,11.13797
QPLIB_10071.lp,min,0.0,0.0,tie,0,0,10.539028,10.751817
QPLIB_10072.lp,min,0.0,0.0,tie,0,0,10.06988,10.116458
