instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
QPLIB_3587.lp,min,,16725.0,old only feasible,124,0,30.007128,60.025111
QPLIB_3650.lp,max,,920.0,old only feasible,124,0,30.007427,60.050558
chimera_selby-c8-onc8-01.lp,max,,176.5,old only feasible,124,0,30.006963,60.085728
chimera_selby-c16-02.lp,max,,710.1,old only feasible,124,0,30.007537,60.47979
QPLIB_5755.lp,max,,24046773.0,old only feasible,124,0,30.005858,60.074772
chimera_k64ising-01.lp,max,,12.1,old only feasible,124,0,30.007364,60.028661
QPLIB_3850.lp,max,,1194.0,old only feasible,124,0,30.006197,60.161384
QPLIB_3693.lp,max,,1148.0,old only feasible,124,0,30.006536,60.298701
chimera_lga-02.lp,max,,125.6,old only feasible,124,0,30.007859,60.171632
QPLIB_9048.lp,min,,-1.165682,old only feasible,124,0,30.006668,60.142771
