instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
QPLIB_3587.lp,min,16725.0,16725.0,tie,0,0,60.021767,60.025111
QPLIB_3650.lp,max,920.0,920.0,tie,0,0,60.035458,60.050558
chimera_selby-c8-onc8-01.lp,max,176.1,176.5,new loss,0,0,60.033275,60.085728
chimera_selby-c16-02.lp,max,714.8,710.1,new win,0,0,60.262395,60.47979
QPLIB_5755.lp,max,24205342.0,24046773.0,new win,0,0,60.087089,60.074772
chimera_k64ising-01.lp,max,18.8,12.1,new win,0,0,60.169809,60.028661
QPLIB_3850.lp,max,1196.0,1194.0,new win,0,0,60.190274,60.161384
QPLIB_3693.lp,max,1148.0,1148.0,tie,0,0,60.229703,60.298701
chimera_lga-02.lp,max,127.4,125.6,new win,0,0,60.022942,60.171632
QPLIB_9048.lp,min,-1.165682,-1.165682,tie,0,0,60.978111,60.142771
