instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
crossdock_15x8.lp,min,16351.0,16351.0,tie,0,0,10.024772,10.019228
st_test1.lp,min,0.0,0.0,tie,0,0,10.011591,10.009978
QPLIB_3838.lp,max,740.0,740.0,tie,0,0,10.202304,10.020147
chimera_lga-02.lp,max,122.7,123.9,new loss,0,0,10.620182,10.63532
st_test4.lp,min,-7.0,-7.0,tie,0,0,10.010223,10.012065
nvs23.lp,min,-1125.2,-1125.2,tie,0,0,10.014007,10.009145
graphpart_2g-0055-0062.lp,min,-1116960.0,-1116960.0,tie,0,0,10.010494,10.012669
QPLIB_5980.lp,max,589.0,589.0,tie,0,0,11.781163,12.061492
chimera_selby-c8-onc8-02.lp,max,166.0,166.0,tie,0,0,10.065071,10.075785
QPLIB_3850.lp,max,1188.0,1186.0,new win,0,0,10.078444,10.053148
QPLIB_3738.lp,max,420.0,420.0,tie,0,0,10.011415,10.016647
QPLIB_3883.lp,min,-765.0,-765.0,tie,0,0,10.139571,10.095568
QPLIB_2957.lp,min,3666.0,3666.0,tie,0,0,11.532633,11.906591
QPLIB_6487.lp,min,345016.0,345016.0,tie,0,0,10.368319,12.533805
QPLIB_10042.lp,min,-20.881926,-20.881926,tie,0,0,10.529218,10.568246
chimera_mgw-c8-507-onc8-02.lp,max,494.0,494.0,tie,0,0,10.056547,10.325451
QPLIB_10063.lp,min,-42.515972,-42.515972,tie,0,0,10.73932,10.47461
graphpart_2pm-0055-0055.lp,min,-20.0,-20.0,tie,0,0,10.008047,10.011772
QPLIB_2073.lp,min,7745280.0,7745280.0,tie,0,0,10.139168,10.523371
QPLIB_7154.lp,min,1159.0,1159.0,tie,0,0,10.147914,10.143048
chimera_k64ising-01.lp,max,12.9,12.0,new win,0,0,10.194825,10.083591
QPLIB_10041.lp,min,0.0,0.0,tie,0,0,10.277755,10.276506
st_test8.lp,min,-29605.0,-29605.0,tie,0,0,10.017236,10.014048
pb351535.lp,min,5115148.0,5115148.0,tie,0,0,10.844026,11.32838
graphpart_2pm-0099-0999.lp,min,-62.0,-62.0,tie,0,0,10.021306,10.028029
chimera_selby-c16-01.lp,max,708.6,710.1,new loss,0,0,10.503034,10.284256
graphpart_2g-1010-0824.lp,min,-6960353.0,-6960353.0,tie,0,0,10.033008,10.045914
QPLIB_10070.lp,min,-25.258817,-25.258817,tie,0,0,10.70666,11.040926
QPLIB_3347.lp,min,4015793.0,4015793.0,tie,0,0,12.209093,12.268983
ball_mk3_30.lp,,,,neither feasible,0,0,10.011326,10.008722
graphpart_2pm-0077-0777.lp,min,-38.0,-38.0,tie,0,0,10.014467,10.01763
nvs15.lp,min,1.0,1.0,tie,0,0,10.007659,10.007298
QPLIB_3923.lp,min,91.325,91.325,tie,0,0,10.034113,10.03685
QPLIB_3706.lp,max,680.0,680.0,tie,0,0,10.108472,10.03103
QPLIB_1976.lp,min,-9594.0,-9594.0,tie,0,0,10.055733,10.043278
QPLIB_3822.lp,max,846.0,846.0,tie,0,0,10.224142,10.106769
graphpart_3g-0244-0244.lp,min,-2540313.0,-2540313.0,tie,0,0,10.010888,10.017298
chimera_mgw-c8-439-onc8-001.lp,max,403.0,403.0,tie,0,0,10.218493,10.131019
graphpart_3pm-0244-0244.lp,min,-28.0,-28.0,tie,0,0,10.019556,10.020501
graphpart_2g-0066-0066.lp,min,-2560722.0,-2560722.0,tie,0,0,10.013079,10.00921
QPLIB_3565.lp,max,282.0,282.0,tie,0,0,10.048644,10.049278
QPLIB_10055.lp,min,-1.258548,-1.258548,tie,0,0,10.632816,10.247814
QPLIB_9030.lp,min,526240.0,526240.0,tie,0,0,14.69441,14.569774
QPLIB_10068.lp,min,-31.624223,-31.624223,tie,0,0,10.830927,11.516625
ball_mk4_15.lp,,,,neither feasible,0,0,10.033347,10.075683
graphpart_2pm-0088-0888.lp,min,-54.0,-54.0,tie,0,0,10.019291,10.011921
QPLIB_10050.lp,min,-25.697662,-25.697662,tie,0,0,10.349424,10.168926
QPLIB_10064.lp,min,0.0,0.0,tie,0,0,10.787342,10.698595
QPLIB_3757.lp,min,-511.0,-511.0,tie,0,0,10.080208,10.139657
pb351555.lp,min,4888133.0,4888133.0,tie,0,0,12.503778,13.069265
