instance,family,is_chimera,is_qubo_cache_active,sense,baseline_status,mode15_status,mode16_status,baseline_obj,mode15_obj,mode16_obj,mode16_vs_baseline,mode16_vs_mode15,pair_attempt,pair_checked,pair_executed,pair_improved_best,pair_best_seen,pair_time_spent,cache_mismatch16,mode15_cache_mismatch
ball_mk2_10.lp,ball,False,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk2_30.lp,ball,False,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk3_10.lp,ball,False,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk3_20.lp,ball,False,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk3_30.lp,ball,False,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk4_05.lp,ball,False,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk4_10.lp,ball,False,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk4_15.lp,ball,False,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
chimera_k64ising-01.lp,chimera,True,1,max,FEASIBLE,FEASIBLE,FEASIBLE,12.0,17.7,20.5,win,win,2355,4390036,1862,5,2.0,1.88743,0,0
chimera_k64maxcut-01.lp,chimera,True,1,max,FEASIBLE,FEASIBLE,FEASIBLE,13.8,13.5,19.4,win,win,3089,4174799,1784,9,1.8,1.63684,0,0
chimera_k64maxcut-02.lp,chimera,True,1,max,FEASIBLE,FEASIBLE,FEASIBLE,12.1,10.1,17.2,win,win,2945,4110786,2103,6,1.8,1.69857,0,0
chimera_lga-01.lp,chimera,True,1,max,FEASIBLE,FEASIBLE,FEASIBLE,123.2,130.4,135.2,win,win,1636,5175233,1375,14,1.9,2.02829,0,0
chimera_lga-02.lp,chimera,True,1,max,FEASIBLE,FEASIBLE,FEASIBLE,122.0,125.2,128.6,win,win,1827,5269633,1356,13,2.0,2.04368,0,0
chimera_mgw-c16-2031-01.lp,chimera,True,1,max,FEASIBLE,FEASIBLE,FEASIBLE,1958.0,1969.0,1966.0,win,loss,678,5355927,114,11,2.0,2.0313,0,0
