instance,family,is_chimera,is_qubo_cache_active,sense,baseline_status,mode15_status,mode16_status,baseline_obj,mode15_obj,mode16_obj,mode16_vs_baseline,mode16_vs_mode15,pair_attempt,pair_checked,pair_executed,pair_improved_best,pair_best_seen,pair_time_spent,cache_mismatch16,mode15_cache_mismatch
ball_mk2_10.lp,ball,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk2_30.lp,ball,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk3_10.lp,ball,0,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk3_20.lp,ball,0,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk3_30.lp,ball,0,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk4_05.lp,ball,0,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk4_10.lp,ball,0,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
ball_mk4_15.lp,ball,0,0,,UNKNOWN,NO_FEASIBLE_SOLUTION,NO_FEASIBLE_SOLUTION,,,,tie,tie,0,0,0,0,0.0,0.0,0,0
chimera_k64ising-01.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,12.1,18.0,22.3,win,win,53174,99138395,37852,7,2.0,57.673,0,0
chimera_k64maxcut-01.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,13.8,15.7,19.4,win,win,74038,100063680,48293,9,1.8,52.0663,0,0
chimera_k64maxcut-02.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,15.7,17.8,21.0,win,win,73296,102285196,47638,6,1.8,50.7579,0,0
chimera_lga-01.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,130.2,135.7,139.5,win,win,37001,117040967,31875,18,2.0,64.2644,0,0
chimera_lga-02.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,126.0,127.6,130.0,win,win,40982,118183025,31755,13,2.0,63.0747,0,0
chimera_mgw-c16-2031-01.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,2001.0,2002.0,2000.0,loss,loss,18073,142756495,2168,12,2.0,62.7686,0,0
chimera_mgw-c16-2031-02.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,2001.0,2002.0,2002.0,win,tie,16650,131514892,2257,11,2.0,61.5279,0,0
chimera_mgw-c8-439-onc8-001.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,405.0,405.0,405.0,tie,tie,116761,172639020,27520,9,2.0,73.2046,0,0
chimera_mgw-c8-439-onc8-002.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,396.0,396.0,397.0,win,win,112626,166578435,20576,12,2.0,77.4056,0,0
chimera_mgw-c8-507-onc8-01.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,493.0,493.0,493.0,tie,tie,83495,158942852,20461,5,2.0,68.3191,0,0
chimera_mgw-c8-507-onc8-02.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,495.0,495.0,495.0,tie,tie,88167,167929434,14705,5,2.0,70.8297,0,0
chimera_mis-01.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,384.4,386.2,387.4,win,win,30564,133878064,3475,77,0.2,63.7189,0,0
chimera_mis-02.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,395.2,396.2,396.8,win,win,31988,141855746,2582,80,0.2,64.9776,0,0
chimera_rfr-01.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,1187.9,1191.3,1192.0,win,win,15286,115174068,9767,60,1.7,63.3051,0,0
chimera_rfr-02.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,1162.7,1163.1,1162.8,win,loss,14885,111949477,11218,59,1.5,63.6828,0,0
chimera_selby-c16-01.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,723.4,728.2,734.1,win,win,21691,118050453,12421,88,1.5,58.3725,0,0
chimera_selby-c16-02.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,718.9,718.1,734.2,win,win,20767,112128061,10821,74,1.5,57.6253,0,0
chimera_selby-c8-onc8-01.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,177.3,176.1,178.9,win,win,98883,129258368,44643,21,1.6,57.5184,0,0
chimera_selby-c8-onc8-02.lp,chimera,1,1,max,FEASIBLE,FEASIBLE,FEASIBLE,167.6,167.8,168.0,win,win,91470,117290796,42237,18,1.8,57.7999,0,0
crossdock_15x8.lp,crossdock,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,16192.0,16192.0,16192.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2g-0044-1601.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-919798.0,-919798.0,-919798.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2g-0055-0062.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-1389815.0,-1389815.0,-1389815.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2g-0066-0066.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-2809020.0,-2809020.0,-2809020.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2g-0077-0077.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-3215899.0,-3215899.0,-3215899.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2g-0088-0088.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-5935341.0,-5935341.0,-5935341.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2g-0099-9211.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-5070020.0,-5070020.0,-5070020.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2g-1010-0824.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-6983053.0,-6983053.0,-6983053.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2pm-0044-0044.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-10.0,-10.0,-10.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2pm-0055-0055.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-20.0,-20.0,-20.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2pm-0066-0066.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-29.0,-29.0,-29.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2pm-0077-0777.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-38.0,-38.0,-38.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2pm-0088-0888.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-54.0,-54.0,-54.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_2pm-0099-0999.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-63.0,-63.0,-63.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3g-0234-0234.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-1952753.0,-1952753.0,-1952753.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3g-0244-0244.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-2725383.0,-2725383.0,-2725383.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3g-0333-0333.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-1882389.0,-1882389.0,-1882389.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3g-0334-0334.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-3410696.0,-3410696.0,-3410696.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3g-0344-0344.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-5083378.0,-5083378.0,-5083378.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3g-0444-0444.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-7603756.0,-7603756.0,-7603756.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3pm-0234-0234.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-20.0,-20.0,-20.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3pm-0244-0244.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-28.0,-28.0,-28.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3pm-0333-0333.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-26.0,-26.0,-26.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3pm-0334-0334.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-36.0,-36.0,-36.0,tie,tie,0,0,0,0,0.0,0.0,0,0
graphpart_3pm-0344-0344.lp,graphpart,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-48.0,-48.0,-48.0,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs03.lp,nvs03.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,64.0,64.0,64.0,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs10.lp,nvs10.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-310.8,-310.8,-310.8,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs11.lp,nvs11.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-431.0,-431.0,-431.0,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs12.lp,nvs12.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-481.2,-481.2,-481.2,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs13.lp,nvs13.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-585.2,-585.2,-585.2,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs15.lp,nvs15.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,1.0,1.0,1.0,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs17.lp,nvs17.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-1100.4,-1100.4,-1100.4,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs18.lp,nvs18.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-778.4,-778.4,-778.4,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs19.lp,nvs19.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-1098.4,-1098.4,-1098.4,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs23.lp,nvs23.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-1125.2,-1125.2,-1125.2,tie,tie,0,0,0,0,0.0,0.0,0,0
nvs24.lp,nvs24.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-1033.2,-1033.2,-1033.2,tie,tie,0,0,0,0,0.0,0.0,0,0
pb302035.lp,pb302035.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,3818368.0,3818368.0,3818368.0,tie,tie,0,0,0,0,0.0,0.0,0,0
pb302055.lp,pb302055.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,3966094.0,3966094.0,3966094.0,tie,tie,0,0,0,0,0.0,0.0,0,0
pb302075.lp,pb302075.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,4191764.0,4191764.0,4191764.0,tie,tie,0,0,0,0,0.0,0.0,0,0
pb351535.lp,pb351535.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,5115148.0,5115148.0,5115148.0,tie,tie,0,0,0,0,0.0,0.0,0,0
pb351555.lp,pb351555.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,4888133.0,4888133.0,4888133.0,tie,tie,0,0,0,0,0.0,0.0,0,0
pb351575.lp,pb351575.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,6553485.0,6553485.0,6553485.0,tie,tie,0,0,0,0,0.0,0.0,0,0
prob02.lp,prob02.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,128255.0,128255.0,128255.0,tie,tie,0,0,0,0,0.0,0.0,0,0
prob03.lp,prob03.lp,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,10.0,10.0,10.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_0067.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-94446.0,-94446.0,-94446.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_0633.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,82.048035,82.048035,82.048035,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_0752.lp,QPLIB,0,0,max,FEASIBLE,FEASIBLE,FEASIBLE,24071.0,24071.0,24071.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10040.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10041.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10042.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-20.881926,-20.881926,-20.881926,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10043.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10044.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-7.868867,-7.868867,-7.868867,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10045.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10046.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-0.7127,-0.7127,-0.7127,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10047.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10048.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-13.562674,-13.562674,-13.562674,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10049.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10050.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-25.697662,-25.697662,-25.697662,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10051.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10052.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-11.810576,-11.810576,-11.810576,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10053.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,0.0,0.0,0.0,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10054.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-10.197064,-10.197064,-10.197064,tie,tie,0,0,0,0,0.0,0.0,0,0
QPLIB_10055.lp,QPLIB,0,0,min,FEASIBLE,FEASIBLE,FEASIBLE,-1.258548,-1.258548,-1.258548,tie,tie,0,0,0,0,0.0,0.0,0,0
