instance,cutoff,solver,sense,nvars,nedges,status,reported_obj,mode16_obj,mode16_vs_solver,solver_vs_mode16,elapsed,bound,internal_energy,mip_gap,reads
QPLIB_3506.lp,10,mode16,max,496,960,ok,478.0,478.0,tie,tie,10.109151601791382,,,,
QPLIB_3506.lp,10,dwave_tabu,max,496,960,ok,478.0,478.0,tie,tie,10.027965545654297,,-478.0,,
QPLIB_3506.lp,10,neal_sa,max,496,960,ok,478.0,478.0,tie,tie,10.210463523864746,,-478.0,,560
QPLIB_3506.lp,10,gurobi,max,496,960,9,474.0,478.0,win,loss,10.049407005310059,496.0,-474.0,0.046413502109704644,
QPLIB_3565.lp,10,mode16,max,276,528,ok,280.0,280.0,tie,tie,10.054340362548828,,,,
QPLIB_3565.lp,10,dwave_tabu,max,276,528,ok,282.0,280.0,loss,win,10.010019779205322,,-282.0,,
QPLIB_3565.lp,10,neal_sa,max,276,528,ok,282.0,280.0,loss,win,10.028968095779419,,-282.0,,992
QPLIB_3565.lp,10,gurobi,max,276,528,9,282.0,280.0,loss,win,10.043846845626831,284.0,-282.0,0.0070921985815602835,
QPLIB_3642.lp,10,mode16,max,1035,2024,ok,1030.0,1030.0,tie,tie,10.163849115371704,,,,
QPLIB_3642.lp,10,dwave_tabu,max,1035,2024,ok,1028.0,1030.0,win,loss,10.077521085739136,,-1028.0,,
QPLIB_3642.lp,10,neal_sa,max,1035,2024,ok,1034.0,1030.0,loss,win,10.162923336029053,,-1034.0,,272
QPLIB_3642.lp,10,gurobi,max,1035,2024,9,1000.0,1030.0,win,loss,10.094272375106812,1148.0,-1000.0,0.148,
QPLIB_3650.lp,10,mode16,max,946,1848,ok,918.0,918.0,tie,tie,10.091995477676392,,,,
QPLIB_3650.lp,10,dwave_tabu,max,946,1848,ok,918.0,918.0,tie,tie,10.062204360961914,,-918.0,,
QPLIB_3650.lp,10,neal_sa,max,946,1848,ok,922.0,918.0,loss,win,10.441725969314575,,-922.0,,304
QPLIB_3650.lp,10,gurobi,max,946,1848,9,914.0,918.0,win,loss,10.095364570617676,1008.0,-914.0,0.10284463894967177,
QPLIB_3693.lp,10,mode16,max,1128,2208,ok,1146.0,1146.0,tie,tie,10.10725474357605,,,,
QPLIB_3693.lp,10,dwave_tabu,max,1128,2208,ok,1144.0,1146.0,win,loss,10.137129306793213,,-1144.0,,
QPLIB_3693.lp,10,neal_sa,max,1128,2208,ok,1152.0,1146.0,loss,win,10.452033281326294,,-1152.0,,256
QPLIB_3693.lp,10,gurobi,max,1128,2208,9,1130.0,1146.0,win,loss,10.09980821609497,1330.0,-1130.0,0.17699115044247787,
QPLIB_3705.lp,10,mode16,max,378,728,ok,384.0,384.0,tie,tie,10.061959981918335,,,,
QPLIB_3705.lp,10,dwave_tabu,max,378,728,ok,384.0,384.0,tie,tie,10.016570806503296,,-384.0,,
QPLIB_3705.lp,10,neal_sa,max,378,728,ok,384.0,384.0,tie,tie,10.099425792694092,,-384.0,,736
QPLIB_3705.lp,10,gurobi,max,378,728,9,372.0,384.0,win,loss,10.047247648239136,386.0,-372.0,0.03763440860215054,
QPLIB_3706.lp,10,mode16,max,703,1368,ok,680.0,680.0,tie,tie,10.01706576347351,,,,
QPLIB_3706.lp,10,dwave_tabu,max,703,1368,ok,682.0,680.0,loss,win,10.037703514099121,,-682.0,,
QPLIB_3706.lp,10,neal_sa,max,703,1368,ok,682.0,680.0,loss,win,10.282177925109863,,-682.0,,400
QPLIB_3706.lp,10,gurobi,max,703,1368,9,666.0,680.0,win,loss,10.08388900756836,728.0,-666.0,0.09309309309309309,
QPLIB_3738.lp,10,mode16,max,435,840,ok,420.0,420.0,tie,tie,10.034026622772217,,,,
QPLIB_3738.lp,10,dwave_tabu,max,435,840,ok,422.0,420.0,loss,win,10.01778268814087,,-422.0,,
QPLIB_3738.lp,10,neal_sa,max,435,840,ok,422.0,420.0,loss,win,10.1709725856781,,-422.0,,640
QPLIB_3738.lp,10,gurobi,max,435,840,9,414.0,420.0,win,loss,10.070579767227173,434.0,-414.0,0.04830917874396135,
QPLIB_3745.lp,10,mode16,max,325,624,ok,334.0,334.0,tie,tie,10.01805067062378,,,,
QPLIB_3745.lp,10,dwave_tabu,max,325,624,ok,334.0,334.0,tie,tie,10.013070344924927,,-334.0,,
QPLIB_3745.lp,10,neal_sa,max,325,624,ok,334.0,334.0,tie,tie,10.16460132598877,,-334.0,,848
QPLIB_3745.lp,10,gurobi,max,325,624,9,330.0,334.0,win,loss,10.049317598342896,340.0,-330.0,0.030303030303030304,
QPLIB_3822.lp,10,mode16,max,861,1680,ok,848.0,848.0,tie,tie,10.127176284790039,,,,
QPLIB_3822.lp,10,dwave_tabu,max,861,1680,ok,848.0,848.0,tie,tie,10.054204225540161,,-848.0,,
QPLIB_3822.lp,10,neal_sa,max,861,1680,ok,850.0,848.0,loss,win,10.443005323410034,,-850.0,,336
QPLIB_3822.lp,10,gurobi,max,861,1680,9,834.0,848.0,win,loss,10.089396476745605,928.0,-834.0,0.11270983213429256,
QPLIB_3832.lp,10,mode16,max,561,1088,ok,552.0,552.0,tie,tie,10.014692783355713,,,,
QPLIB_3832.lp,10,dwave_tabu,max,561,1088,ok,552.0,552.0,tie,tie,10.027208805084229,,-552.0,,
QPLIB_3832.lp,10,neal_sa,max,561,1088,ok,554.0,552.0,loss,win,10.152190685272217,,-554.0,,496
QPLIB_3832.lp,10,gurobi,max,561,1088,9,548.0,552.0,win,loss,10.057344436645508,582.0,-548.0,0.06204379562043796,
QPLIB_3838.lp,10,mode16,max,780,1520,ok,742.0,742.0,tie,tie,10.038899660110474,,,,
QPLIB_3838.lp,10,dwave_tabu,max,780,1520,ok,740.0,742.0,win,loss,10.046064138412476,,-740.0,,
QPLIB_3838.lp,10,neal_sa,max,780,1520,ok,744.0,742.0,loss,win,10.376185655593872,,-744.0,,368
QPLIB_3838.lp,10,gurobi,max,780,1520,9,722.0,742.0,win,loss,10.066830158233643,814.0,-722.0,0.12742382271468145,
QPLIB_3850.lp,10,mode16,max,1225,2400,ok,1188.0,1188.0,tie,tie,10.191755533218384,,,,
QPLIB_3850.lp,10,dwave_tabu,max,1225,2400,ok,1192.0,1188.0,loss,win,10.107123851776123,,-1192.0,,
QPLIB_3850.lp,10,neal_sa,max,1225,2400,ok,1198.0,1188.0,loss,win,10.696337461471558,,-1198.0,,240
QPLIB_3850.lp,10,gurobi,max,1225,2400,9,1158.0,1188.0,win,loss,10.112109661102295,1348.0,-1158.0,0.16407599309153714,
QPLIB_3852.lp,10,mode16,max,231,440,ok,234.0,234.0,tie,tie,10.027135133743286,,,,
QPLIB_3852.lp,10,dwave_tabu,max,231,440,ok,234.0,234.0,tie,tie,10.008862495422363,,-234.0,,
QPLIB_3852.lp,10,neal_sa,max,231,440,ok,234.0,234.0,tie,tie,10.053349494934082,,-234.0,,1184
QPLIB_3852.lp,10,gurobi,max,231,440,2,234.0,234.0,tie,tie,6.120097637176514,234.0,-234.0,0.0,
QPLIB_3877.lp,10,mode16,max,630,1224,ok,600.0,600.0,tie,tie,10.02749514579773,,,,
QPLIB_3877.lp,10,dwave_tabu,max,630,1224,ok,600.0,600.0,tie,tie,10.036866426467896,,-600.0,,
QPLIB_3877.lp,10,neal_sa,max,630,1224,ok,602.0,600.0,loss,win,10.303265810012817,,-602.0,,448
QPLIB_3877.lp,10,gurobi,max,630,1224,9,598.0,600.0,win,loss,10.063973188400269,634.0,-598.0,0.06020066889632107,
QPLIB_5721.lp,10,mode16,max,300,34576,ok,8078979.0,8078979.0,tie,tie,14.973740577697754,,,,
QPLIB_5721.lp,10,dwave_tabu,max,300,34576,ok,8153505.0,8078979.0,loss,win,10.012596368789673,,-8153505.0,,
QPLIB_5721.lp,10,neal_sa,max,300,34576,ok,8446168.0,8078979.0,loss,win,10.384702682495117,,-8446168.0,,336
QPLIB_5721.lp,10,gurobi,max,300,34576,2,8579363.0,8078979.0,loss,win,0.8592715263366699,8579363.0,-8579363.0,0.0,
QPLIB_5725.lp,10,mode16,max,343,1029,ok,33380887.0,33380887.0,tie,tie,10.09302568435669,,,,
QPLIB_5725.lp,10,dwave_tabu,max,343,1029,ok,32733485.0,33380887.0,win,loss,10.012710094451904,,-32733485.0,,
QPLIB_5725.lp,10,neal_sa,max,343,1029,ok,33587997.0,33380887.0,loss,win,10.058034896850586,,-33587997.0,,1472
QPLIB_5725.lp,10,gurobi,max,343,1029,9,32708313.0,33380887.0,win,loss,10.052778720855713,34177161.05646539,-32708313.0,0.0449074844204098,
QPLIB_5755.lp,10,mode16,max,400,800,ok,24041235.0,24041235.0,tie,tie,10.066595554351807,,,,
QPLIB_5755.lp,10,dwave_tabu,max,400,800,ok,23838788.0,24041235.0,win,loss,10.017656087875366,,-23838788.0,,
QPLIB_5755.lp,10,neal_sa,max,400,800,ok,24712119.0,24041235.0,loss,win,10.064830303192139,,-24712119.0,,1232
QPLIB_5755.lp,10,gurobi,max,400,800,2,24838942.0,24041235.0,loss,win,3.6924734115600586,24839457.5,-24838942.0,2.0753701989400355e-05,
QPLIB_5875.lp,10,mode16,max,200,15771,ok,43757.0,43757.0,tie,tie,10.939181804656982,,,,
QPLIB_5875.lp,10,dwave_tabu,max,200,15771,ok,43757.0,43757.0,tie,tie,10.006957769393921,,-43757.0,,
QPLIB_5875.lp,10,neal_sa,max,200,15771,ok,43757.0,43757.0,tie,tie,10.373361349105835,,-43757.0,,400
QPLIB_5875.lp,10,gurobi,max,200,15771,9,43757.0,43757.0,tie,tie,10.343004703521729,49565.11173070163,-43757.0,0.13273560186259642,
QPLIB_5881.lp,10,mode16,max,120,2123,ok,13067.0,13067.0,tie,tie,10.06808090209961,,,,
QPLIB_5881.lp,10,dwave_tabu,max,120,2123,ok,13067.0,13067.0,tie,tie,10.004433870315552,,-13067.0,,
QPLIB_5881.lp,10,neal_sa,max,120,2123,ok,13067.0,13067.0,tie,tie,10.075592994689941,,-13067.0,,1632
QPLIB_5881.lp,10,gurobi,max,120,2123,9,13067.0,13067.0,tie,tie,10.075866222381592,14401.0,-13067.0,0.10208923241754037,
